id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
3615,2024-07-30 06:37:07.377394,4.6,3.4,1.4,0.3,0
3614,2024-07-30 06:37:06.372044,5.6,2.7,4.2,1.3,1
3613,2024-07-30 06:37:05.365546,5.0,2.3,3.3,1.0,1
3612,2024-07-30 06:37:04.353598,6.5,3.2,5.1,2.0,2
3611,2024-07-30 06:37:03.347340,5.7,3.0,4.2,1.2,1
3610,2024-07-30 06:37:02.339674,5.0,3.5,1.6,0.6,0
3609,2024-07-30 06:37:01.334111,6.4,3.2,4.5,1.5,1
3608,2024-07-30 06:37:00.328846,4.7,3.2,1.3,0.2,0
3607,2024-07-30 06:36:59.313537,4.7,3.2,1.3,0.2,0
3606,2024-07-30 06:36:58.308387,6.8,3.2,5.9,2.3,2
3605,2024-07-30 06:36:57.293710,5.9,3.2,4.8,1.8,1
3604,2024-07-30 06:36:56.289001,5.0,2.3,3.3,1.0,1
3603,2024-07-30 06:36:55.273266,6.0,2.7,5.1,1.6,1
3602,2024-07-30 06:36:54.267057,5.0,3.2,1.2,0.2,0
3601,2024-07-30 06:36:53.260963,5.1,3.8,1.5,0.3,0
3600,2024-07-30 06:36:52.254337,5.7,4.4,1.5,0.4,0
3599,2024-07-30 06:36:51.245942,5.1,3.5,1.4,0.3,0
3598,2024-07-30 06:36:50.240665,7.3,2.9,6.3,1.8,2
3597,2024-07-30 06:36:49.225120,6.9,3.2,5.7,2.3,2
3596,2024-07-30 06:36:48.217490,4.9,2.4,3.3,1.0,1
3595,2024-07-30 06:36:47.201814,6.5,3.2,5.1,2.0,2
3594,2024-07-30 06:36:46.196605,5.1,3.8,1.5,0.3,0
3593,2024-07-30 06:36:45.181916,4.8,3.4,1.9,0.2,0
3592,2024-07-30 06:36:44.167140,6.0,2.7,5.1,1.6,1
3591,2024-07-30 06:36:43.157812,6.3,2.7,4.9,1.8,2
3590,2024-07-30 06:36:42.145092,6.2,3.4,5.4,2.3,2
3589,2024-07-30 06:36:41.128474,5.1,2.5,3.0,1.1,1
3588,2024-07-30 06:36:40.122141,6.0,3.0,4.8,1.8,2
3587,2024-07-30 06:36:39.117355,7.7,2.8,6.7,2.0,2
3586,2024-07-30 06:36:38.111326,6.1,2.8,4.7,1.2,1
3585,2024-07-30 06:36:37.096219,5.5,2.3,4.0,1.3,1
3584,2024-07-30 06:36:36.081020,4.9,3.1,1.5,0.1,0
3583,2024-07-30 06:36:35.066006,5.4,3.0,4.5,1.5,1
3582,2024-07-30 06:36:34.060891,6.4,3.1,5.5,1.8,2
3581,2024-07-30 06:36:33.045096,5.1,3.4,1.5,0.2,0
3580,2024-07-30 06:36:32.029546,7.2,3.2,6.0,1.8,2
3579,2024-07-30 06:36:31.014304,6.3,2.5,4.9,1.5,1
3578,2024-07-30 06:36:30.005694,5.6,2.7,4.2,1.3,1
3577,2024-07-30 06:36:29.000516,4.4,3.0,1.3,0.2,0
3576,2024-07-30 06:36:27.983932,7.7,3.0,6.1,2.3,2
3575,2024-07-30 06:36:26.970189,6.0,2.2,4.0,1.0,1
3574,2024-07-30 06:36:25.964828,6.7,3.0,5.0,1.7,1
3573,2024-07-30 06:36:24.957529,5.0,2.0,3.5,1.0,1
3572,2024-07-30 06:36:23.952382,6.4,2.8,5.6,2.1,2
3571,2024-07-30 06:36:22.943195,5.4,3.4,1.5,0.4,0
3570,2024-07-30 06:36:21.936268,5.8,2.7,3.9,1.2,1
3569,2024-07-30 06:36:20.927693,5.9,3.0,5.1,1.8,2
3568,2024-07-30 06:36:19.922595,5.1,3.4,1.5,0.2,0
3567,2024-07-30 06:36:18.917400,5.7,2.8,4.1,1.3,1
3566,2024-07-30 06:36:17.910312,7.4,2.8,6.1,1.9,2
3565,2024-07-30 06:36:16.903129,7.7,3.0,6.1,2.3,2
3564,2024-07-30 06:36:15.896573,5.2,3.5,1.5,0.2,0
3563,2024-07-30 06:36:14.887447,5.7,2.9,4.2,1.3,1
3562,2024-07-30 06:36:13.881821,4.8,3.4,1.9,0.2,0
3561,2024-07-30 06:36:12.875933,6.4,3.2,5.3,2.3,2
3560,2024-07-30 06:36:11.865981,6.8,2.8,4.8,1.4,1
3559,2024-07-30 06:36:10.860620,6.0,2.9,4.5,1.5,1
3558,2024-07-30 06:36:09.846364,6.5,3.0,5.2,2.0,2
3557,2024-07-30 06:36:08.831015,7.7,3.0,6.1,2.3,2
3556,2024-07-30 06:36:07.825788,4.9,2.5,4.5,1.7,2
3555,2024-07-30 06:36:06.819616,4.8,3.1,1.6,0.2,0
3554,2024-07-30 06:36:05.805529,4.4,3.0,1.3,0.2,0
3553,2024-07-30 06:36:04.800212,6.5,2.8,4.6,1.5,1
3552,2024-07-30 06:36:03.785724,5.6,2.5,3.9,1.1,1
3551,2024-07-30 06:36:02.770593,5.2,3.5,1.5,0.2,0
